[2026-01-07 18:27:57.710] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 18:27:59.141] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:00000000000002D8;00000000000002A4; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=20628
[2026-01-07 18:27:59.265] [Info] [SystemSettingsMonitor] System Settings monitoring started
[2026-01-07 18:39:20.474] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 18:39:21.472] [Info] [SystemSettingsMonitor] System Settings monitoring started
[2026-01-07 18:39:23.764] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:24.193] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:00000000000002E0;00000000000002E4; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=21548
[2026-01-07 18:39:26.262] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:26.404] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:39:26.404] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:39:28.614] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:31.027] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:31.417] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:39:32.014] [Info] [WMI] Process ended: powershell.exe | EventType=ProcessTerminated, Caption=powershell.exe, CommandLine=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, Description=powershell.exe, Name=powershell.exe, ProcessId=15200
[2026-01-07 18:39:32.014] [Info] [WMI] Process ended: OpenConsole.exe | EventType=ProcessTerminated, Caption=OpenConsole.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\OpenConsole.exe" --headless --textMeasurement graphemes --width 120 --height 30 --signal 0xf68 --server 0xe50, Description=OpenConsole.exe, Name=OpenConsole.exe, ProcessId=3400
[2026-01-07 18:39:33.460] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
